time, S,L, I, Q, R, D
0,190000000,0,2,0,0,0
1,94999998.00000001,73.99999997894737,-70.14285714285714,0.0,0.0,0.0
2,47500034.07142747,86.26190585538845,-112.46598640157536,0.0,0.0,0.0
3,23750045.152230207,101.39142076472302,-147.67873304014287,0.0,0.0,0.0
4,11875041.035991633,121.13440397924802,-175.33311185379642,0.0,0.0,0.0
5,5937531.47635306,141.7979120757343,-194.4311834902045,0.0,0.0,0.0
6,2968771.8141831607,160.4559347532668,-205.2772711204213,0.0,0.0,0.0
7,1484389.1145724761,175.7631422731615,-209.1292973131118,0.0,0.0,0.0
8,742196.1911243917,187.54159002841243,-207.60377627112143,0.0,0.0,0.0
9,371098.90652393474,196.21676494671595,-202.26107176609435,0.0,0.0,0.0
10,185549.84830860829,202.4161299902247,-194.4082640386585,0.0,0.0,0.0
11,92775.11400916478,206.7542317995045,-185.0499161343937,0.0,0.0,0.0
12,46387.647362618634,209.7457964967607,-174.9139877154355,0.0,0.0,0.0
13,23193.866385774032,211.7878265331272,-164.50486595112702,0.0,0.0,0.0
14,11596.953274486177,213.17180275625753,-154.1585762054803,0.0,0.0,0.0
15,5798.486046557753,214.10512585617363,-144.08998174824112,0.0,0.0,0.0
16,2899.247420666981,214.73235318267808,-134.42946490940412,0.0,0.0,0.0
17,1449.62576161915,215.15285083612594,-125.24990921212543,0.0,0.0,0.0
18,724.8138364174334,215.43427828289208,-116.58587018016974,0.0,0.0,0.0
19,362.40736296161646,215.62240743569498,-108.44688193014596,0.0,0.0,0.0
20,181.2038883331666,215.7480647714383,-100.82654026609436,0.0,0.0,0.0
21,90.60204032532515,215.831947022217,-93.70862294232246,0.0,0.0,0.0
22,45.30106484788544,215.88791999625514,-87.07116753427472,0.0,0.0,0.0
23,22.650553184029906,215.92525923741624,-80.88915842593195,0.0,0.0,0.0
24,11.325286235089509,215.95016318186958,-75.13627498303616,0.0,0.0,0.0
25,5.6626475961753435,215.96677097594915,-69.78601047124373,0.0,0.0,0.0
26,2.8313258779486206,215.9778452374385,-64.81237177893375,0.0,0.0,0.0
27,1.4156639047898023,215.98522919247682,-60.1903015727209,0.0,0.0,0.0
28,0.7078324008645667,215.9901523465149,-55.89591792003428,0.0,0.0,0.0
29,0.35391640866881685,215.99343468944005,-51.90663490547925,0.0,0.0,0.0
30,0.17695830102182747,215.99562302960595,-48.201206563369766,0.0,0.0,0.0
31,0.0884791954035639,215.99708197484466,-44.759722227546135,0.0,0.0,0.0
32,0.044239618545488094,215.99805462905275,-41.56357188634462,0.0,0.0,0.0
33,0.02211981895041008,215.99870307635751,-38.59539378001671,0.0,0.0,0.0
34,0.011059913968484585,215.99913537974507,-35.839012246467775,0.0,0.0,0.0
35,0.005529959070433808,215.99942358441052,-33.27937100704315,0.0,0.0,0.0
36,0.0027649805038145758,215.99961572197174,-30.90246521649847,0.0,0.0,0.0
37,0.0013824907016163034,215.99974381419813,-28.695274365138957,0.0,0.0,0.0
38,0.0006912455596026231,215.99982920925663,-26.645697305753473,0.0,0.0,0.0
39,0.0003456228767419418,215.99988613940747,-24.74249014273316,0.0,0.0,0.0
40,0.00017281148337923685,215.9999240928933,-22.97520737178307,0.0,0.0,0.0
41,8.640576258635329e-05,215.99994939524132,-21.334146433310323,0.0,0.0,0.0
42,4.320289099524597e-05,215.9999662634845,-19.81029569918391,0.0,0.0,0.0
43,2.1601450002160022e-05,215.99997750898518,-18.3952858233188,0.0,0.0,0.0
44,1.0800727092473921e-05,215.99998500598804,-17.08134433294383,0.0,0.0,0.0
45,5.40036451724189e-06,215.99999000399106,-15.861253307166109,0.0,0.0,0.0
46,2.7001827094448853e-06,215.9999933359936,-14.728309974371527,0.0,0.0,0.0
47,1.35009156403364e-06,215.99999555732887,-13.676290054680464,0.0,0.0,0.0
48,6.750458791970497e-07,215.99999703821913,-12.699413674522233,0.0,0.0,0.0
49,3.3752298471792897e-07,215.99999802547939,-11.792313685030933,0.0,0.0,0.0
50,1.687615133072638e-07,215.9999986836529,-10.950006222845133,0.0,0.0,0.0
51,8.43807663796298e-08,215.99999912243527,-10.167863359995707,0.0,0.0,0.0
52,4.2190387705457495e-08,215.99999941495685,-9.44158769823187,0.0,0.0,0.0
53,2.1095195949277385e-08,215.99999960997124,-8.767188771943992,0.0,0.0,0.0
54,1.0547598948036394e-08,215.99999973998084,-8.140961132529014,0.0,0.0,0.0
55,5.273799925952892e-09,215.9999998266539,-7.5594639954500025,0.0,0.0,0.0
